City,Country Code,Lat [deg],Lng [deg],Temperature [C],Humidity [%],Cloudiness [%],Wind Speed (kph]
mitu,co,1.1983,-70.1733,20.560000000000002,100,100,0.69
thinadhoo,mv,0.5333,72.9333,28.05000000000001,76,36,2.93
bonthe,sl,7.5264,-12.505,26.590000000000032,78,99,3.98
hobyo,so,5.3505,48.5268,27.310000000000002,60,100,13.36
bairiki,ki,1.3292,172.9752,28.0,83,20,2.57
wajir,ke,1.7471,40.0573,30.960000000000036,33,54,11.4
kisangani,cd,0.5167,25.2,33.44,38,68,2.37
marsabit,ke,2.3284,37.9899,22.390000000000043,40,90,7.67
mbini,gq,1.574,9.6134,24.910000000000025,75,98,4.96
manokwari,id,-0.8667,134.0833,26.79000000000002,79,99,4.09
kuching,my,1.55,110.3333,26.120000000000005,94,20,1.03
hilo,us,19.7297,-155.09,23.27000000000004,94,90,2.06
anloga,gh,5.7947,0.8973,27.120000000000005,72,34,6.59
sao filipe,cv,14.8961,-24.4956,23.27000000000004,70,61,1.29
matara,lk,5.9485,80.5353,28.189999999999998,74,57,5.62
bitung,id,1.4451,125.1824,27.470000000000027,84,94,6.61
sarangani,ph,5.4033,125.4636,29.33000000000004,75,61,4.44
acapulco,mx,16.8634,-99.8901,25.80000000000001,89,100,2.18
yambio,sd,4.5721,28.3955,25.370000000000005,83,68,1.5
mahibadhoo,mv,3.7833,72.9667,27.160000000000025,76,99,5.56
kavieng,pg,-2.5744,150.7967,27.600000000000023,77,80,2.34
boda,cf,4.3189,17.4695,28.920000000000016,60,67,2.21
wageningen,sr,51.9667,5.6667,24.620000000000005,68,20,0.45
limbang,my,4.75,115,30.810000000000002,93,81,0.26
bangassou,cf,4.7413,22.8184,31.79000000000002,45,27,1.76
keningau,my,5.3378,116.1602,30.25,97,48,1.43
goderich,sl,43.7501,-81.7165,17.350000000000023,94,4,1.54
salinopolis,br,-0.6136,-47.3561,26.110000000000014,81,42,3.0
bossangoa,cf,6.4926,17.4552,28.05000000000001,69,73,2.7
dimbokro,ci,6.6451,-4.7048,28.78000000000003,55,38,2.12
labuan,my,5.2767,115.2417,30.200000000000045,84,20,2.06
eyl,so,7.9803,49.8164,31.610000000000014,40,95,14.21
funadhoo,mv,6.15,73.2667,26.02000000000004,83,100,12.56
kloulklubed,pw,7.0419,134.2556,28.710000000000036,80,100,6.49
ixtapa,mx,20.7,-105.2,26.79000000000002,90,91,0.45
butaritari,ki,3.0707,172.7902,28.650000000000034,74,17,5.63
kalmunai,lk,7.4167,81.8167,30.480000000000018,69,100,4.43
ler,sd,8.3018,30.1418,22.28000000000003,96,100,1.75
kurunegala,lk,7.4863,80.3623,28.29000000000002,73,99,3.85
mana,gf,5.6592,-53.7767,23.79000000000002,94,100,3.25
georgetown,gy,5.4112,100.3354,30.760000000000048,74,20,4.02
lorengau,pg,-2.0226,147.2712,26.82000000000005,81,30,2.91
kinablangan,ph,7.6947,126.5503,28.33000000000004,82,97,3.58
port blair,in,11.6667,92.75,27.610000000000014,85,100,8.21
kintampo,gh,8.0563,-1.7306,23.07000000000005,72,100,2.37
garowe,so,8.4054,48.4845,29.650000000000034,35,73,14.56
lafiagi,ng,8.8667,5.4167,31.33000000000004,51,47,2.18
conakry,gn,9.538,-13.6773,25.04000000000002,94,75,3.09
dembi dolo,et,8.5333,34.8,14.330000000000041,100,100,1.5
curumani,co,9.1999,-73.5427,23.24000000000001,99,100,0.62
kapaa,us,22.0752,-159.319,24.100000000000023,86,90,0.45
mabaruma,gy,8.2,-59.7833,23.5,97,100,1.01
boffa,gn,10.1667,-14.0333,26.80000000000001,82,100,2.11
odienne,ci,9.51,-7.5692,25.08000000000004,75,96,2.7
malakal,sd,9.5334,31.6605,21.720000000000027,97,100,2.4
cabo san lucas,mx,22.8909,-109.9124,26.57000000000005,73,57,4.77
cansilayan,ph,10.5598,123.0184,25.810000000000002,91,65,3.83
lazaro cardenas,mx,17.9583,-102.2,25.370000000000005,92,21,1.64
birao,cf,10.2849,22.7882,27.33000000000004,65,100,2.77
tubuala,pa,9.5167,-79.0333,25.060000000000002,88,100,4.89
am timan,td,11.0297,20.2827,25.02000000000004,77,100,4.24
cayenne,gf,4.9333,-52.3333,23.939999999999998,91,90,0.0
puerto escondido,mx,15.85,-97.0667,25.260000000000048,83,100,2.57
jega,ng,12.2175,4.3792,30.850000000000023,54,44,4.4
riohacha,co,11.5444,-72.9072,24.140000000000043,87,100,2.35
bereda,so,43.2686,-7.5406,21.710000000000036,43,85,1.1
malumfashi,ng,11.7853,7.6218,27.170000000000016,64,59,4.65
panlaitan,ph,12.1191,119.8486,28.870000000000005,81,100,7.1
constitucion,mx,-35.3333,-72.4167,10.670000000000016,91,93,8.69
airai,pw,-8.9266,125.4092,13.689999999999998,76,4,1.04
kutum,sd,14.2,24.6667,30.82000000000005,37,27,1.23
tuy hoa,vn,13.0833,109.3,30.150000000000034,61,63,7.33
malpe,in,13.35,74.7167,28.610000000000014,83,30,6.06
maine-soroa,ne,13.2114,12.0241,32.460000000000036,45,68,6.87
kita,ml,13.0349,-9.4895,27.189999999999998,66,93,2.62
bathsheba,bb,13.2167,-59.5167,27.340000000000032,83,40,3.6
oum hadjer,td,13.2954,19.6966,27.77000000000004,61,100,2.3
zinder,ne,13.8072,8.9881,30.980000000000018,58,40,7.2
djibo,bf,14.1022,-1.6306,32.89000000000004,43,53,5.46
dakar,sn,14.6937,-17.4441,28.07000000000005,65,40,2.06
san policarpo,ph,12.1791,125.5072,28.860000000000014,72,35,4.98
waspan,ni,14.7419,-83.9717,22.890000000000043,98,99,1.32
mao,td,39.8885,4.2658,28.310000000000002,61,20,7.2
yanam,in,16.7333,82.2167,33.22000000000003,64,89,2.24
veraval,in,20.9,70.3667,27.060000000000002,87,100,8.43
sayyan,ye,15.1718,44.3244,23.110000000000014,36,100,5.8
biltine,td,14.5333,20.9167,31.30000000000001,49,85,6.08
salalah,om,17.0151,54.0924,27.05000000000001,89,90,5.14
cristobal obregon,mx,16.35,-93.5333,20.27000000000004,98,99,1.23
martaban,mm,16.5314,97.6111,25.57000000000005,88,99,5.72
rangoon,mm,16.8053,96.1561,27.980000000000018,94,75,5.14
morant bay,jm,17.8815,-76.4093,25.430000000000007,80,69,1.17
pathein,mm,16.7833,94.7333,27.710000000000036,84,84,5.48
guerrero negro,mx,27.9769,-114.0611,19.430000000000007,89,99,3.85
nioro,ml,13.35,-15.75,27.33000000000004,72,100,2.12
teknaf,bd,20.8624,92.3058,27.680000000000007,87,100,3.18
tekkali,in,18.6167,84.2333,30.689999999999998,72,100,5.38
faya,td,18.3851,42.4509,28.29000000000002,43,51,2.98
najran,sa,17.4924,44.1277,36.360000000000014,17,36,7.38
the valley,ai,18.217,-63.0578,27.920000000000016,83,55,7.85
ponta do sol,cv,32.6667,-17.1,24.78000000000003,72,0,0.66
arlit,ne,18.7369,7.3853,38.29000000000002,24,49,2.93
zhuhai,cn,22.2769,113.5678,30.900000000000034,84,40,5.66
katsuura,jp,35.1333,140.3,27.07000000000005,84,1,4.6
saint-francois,gp,46.4154,3.9054,22.590000000000032,60,75,5.14
codrington,ag,-38.2667,141.9667,10.740000000000009,89,88,7.54
venezuela,cu,8,-66,22.930000000000007,95,100,2.34
makaha,us,21.4694,-158.2175,26.090000000000032,78,90,1.54
tessalit,ml,20.1986,1.0114,36.420000000000016,31,79,5.53
basco,ph,20.4487,121.9702,28.189999999999998,87,98,14.07
abu dhabi,ae,24.4667,54.3667,44.01000000000005,26,10,5.14
gat,ly,31.61,34.7642,32.370000000000005,34,19,5.86
lang son,vn,21.8333,106.7333,28.07000000000005,80,87,1.73
lompoc,us,34.6391,-120.4579,13.75,89,90,1.54
dongzhen,cn,22.3797,110.9389,29.390000000000043,78,80,0.79
dahod,in,22.8333,74.2667,23.840000000000032,97,100,8.17
